,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
221,4.2052039250913525e-09,1.263997976422205e-08,7.963047195124783e-09,7.963047195124783e-09,-0.6839038085937501
222,5.776401216132436e-09,8.917005869517757e-09,9.240103178540138e-09,9.240103178540138e-09,-0.6762744140625001
223,8.071844452447019e-09,8.41783302130687e-09,1.0698992216294554e-08,1.0698992216294554e-08,-0.6686450195312501
224,1.0498273438591276e-08,1.1014422023790056e-08,1.1900651324650935e-08,1.1900651324650935e-08,-0.6610156250000001
225,1.234240263856113e-08,1.4525978428947019e-08,1.2216924754207702e-08,1.2216924754207702e-08,-0.6533862304687501
226,1.3012291306487488e-08,1.676011663497841e-08,1.1368948926689394e-08,1.1368948926689394e-08,-0.6457568359375001
227,1.2369804767918207e-08,1.710841020067745e-08,9.727715070108975e-09,9.727715070108975e-09,-0.6381274414062501
228,1.0766341696971829e-08,1.639102994772444e-08,7.983559479380655e-09,7.983559479380655e-09,-0.6304980468750001
229,8.746596442569145e-09,1.5731985475804314e-08,6.606055176710333e-09,6.606055176710333e-09,-0.6228686523437501
230,6.735363534616301e-09,1.5690503372013587e-08,5.6341496896520466e-09,5.6341496896520466e-09,-0.6152392578125001
231,4.956675008832332e-09,1.5892169034434856e-08,4.828028799589986e-09,4.828028799589986e-09,-0.6076098632812501
232,3.5165512094865446e-09,1.509967509634497e-08,3.972077181431131e-09,3.972077181431131e-09,-0.5999804687500001
233,2.47038275503171e-09,1.2114637580140823e-08,3.1514475426742147e-09,3.1514475426742147e-09,-0.5923510742187501
234,1.916736255708909e-09,7.2652801981118734e-09,2.731909694089705e-09,2.731909694089705e-09,-0.5847216796875001
235,2.2318336155934564e-09,2.7518444999039747e-09,2.945185222096031e-09,2.945185222096031e-09,-0.5770922851562501
236,4.1078561821167025e-09,6.952646373575917e-10,3.5890426415222464e-09,3.5890426415222464e-09,-0.5694628906250001
237,7.856564155599951e-09,8.334115769480957e-10,4.356125258044252e-09,4.356125258044252e-09,-0.5618334960937501
238,1.2444661296220929e-08,1.0578845907534574e-09,5.3276318837503495e-09,5.3276318837503495e-09,-0.5542041015625001
239,1.573498551007616e-08,4.386240250911793e-10,6.765131392573894e-09,6.765131392573894e-09,-0.5465747070312501
240,1.624295566398495e-08,5.640392476853677e-10,8.4236515142898e-09,8.4236515142898e-09,-0.5389453125000001
241,1.4494388478009306e-08,3.1095903596828686e-09,9.481141685289292e-09,9.481141685289292e-09,-0.5313159179687501
242,1.23533725698408e-08,7.051916844086803e-09,9.299533796342215e-09,9.299533796342215e-09,-0.5236865234375001
243,1.1311239130768088e-08,9.530437297104726e-09,8.007234187075012e-09,8.007234187075012e-09,-0.5160571289062501
