,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
210,7.077734224320105e-10,4.272533624957718e-08,4.750992906080738e-09,-0.7678271484375001,4.750992906080738e-09
211,2.389761437437169e-10,3.0498729571655684e-08,2.9324684360242763e-09,-0.7601977539062501,2.9324684360242763e-09
212,9.942107732776462e-10,1.7621661824656883e-08,1.5678729066180274e-09,-0.7525683593750001,1.5678729066180274e-09
213,2.8036169776994925e-09,1.1177124894437295e-08,1.1177087755655044e-09,-0.7449389648437501,1.1177087755655044e-09
214,6.029668619501337e-09,1.2430967453631534e-08,1.7595745792383553e-09,-0.7373095703125001,1.7595745792383553e-09
215,1.1304209962173855e-08,1.5821569555319686e-08,3.1740951302017564e-09,-0.7296801757812501,3.1740951302017564e-09
216,1.8674377463702655e-08,1.497440723764119e-08,4.644110441190151e-09,-0.7220507812500001,4.644110441190151e-09
217,2.6790744017253647e-08,9.077063009654026e-09,5.6008396418948014e-09,-0.7144213867187501,5.6008396418948014e-09
218,3.294902134858969e-08,2.9512487413508545e-09,6.045764107645848e-09,-0.7067919921875001,6.045764107645848e-09
219,3.43275933465911e-08,1.6166911441537551e-09,6.349587996344644e-09,-0.6991625976562501,6.349587996344644e-09
220,2.981067989262134e-08,5.670378366016404e-09,6.795215111035528e-09,-0.6915332031250001,6.795215111035528e-09
221,2.104004554359332e-08,1.1628722369313679e-08,7.489355596045735e-09,-0.6839038085937501,7.489355596045735e-09
222,1.1687956291219803e-08,1.555341309405399e-08,8.528032978003172e-09,-0.6762744140625001,8.528032978003172e-09
223,5.378047649434386e-09,1.5842769390450277e-08,9.88963340670895e-09,-0.6686450195312501,9.88963340670895e-09
224,3.830010567839342e-09,1.3353742196063183e-08,1.115396339068027e-08,-0.6610156250000001,1.115396339068027e-08
225,6.449322736381136e-09,9.979720272048534e-09,1.1648928125384286e-08,-0.6533862304687501,1.1648928125384286e-08
226,1.1230656677632219e-08,7.324749453118525e-09,1.1039616042191753e-08,-0.6457568359375001,1.1039616042191753e-08
227,1.595713613337764e-08,6.029723670578175e-09,9.646011337697325e-09,-0.6381274414062501,9.646011337697325e-09
228,1.891373035803454e-08,5.714869147708892e-09,8.114320037560492e-09,-0.6304980468750001,8.114320037560492e-09
229,1.9172304891545705e-08,5.557559247607646e-09,6.888029745225684e-09,-0.6228686523437501,6.888029745225684e-09
230,1.6911713225852952e-08,5.174391156194565e-09,5.9990211809697734e-09,-0.6152392578125001,5.9990211809697734e-09
231,1.3587184582876056e-08,4.945592751003703e-09,5.203267348056677e-09,-0.6076098632812501,5.203267348056677e-09
232,1.1039335447112489e-08,5.4085866414165755e-09,4.282488186703445e-09,-0.5999804687500001,4.282488186703445e-09
233,9.679086622995733e-09,6.5492665315606025e-09,3.332895665621982e-09,-0.5923510742187501,3.332895665621982e-09
234,7.933182979651504e-09,7.929086853355567e-09,2.7310666157851976e-09,-0.5847216796875001,2.7310666157851976e-09
235,4.484522856226925e-09,9.296425783177965e-09,2.699924119813516e-09,-0.5770922851562501,2.699924119813516e-09
236,9.526683619371208e-10,1.0662498056646221e-08,3.0512309028490457e-09,-0.5694628906250001,3.0512309028490457e-09
237,1.0578889086585145e-09,1.1863482595571131e-08,3.586096348089879e-09,-0.5618334960937501,3.586096348089879e-09
238,6.565634817548601e-09,1.2578363466978158e-08,4.561458492157896e-09,-0.5542041015625001,4.561458492157896e-09
239,1.4942132911462715e-08,1.2938451406514386e-08,6.333521781408612e-09,-0.5465747070312501,6.333521781408612e-09
240,2.167452650024318e-08,1.3656878276011966e-08,8.555939818163155e-09,-0.5389453125000001,8.555939818163155e-09
241,2.4315530613624922e-08,1.5177010855918697e-08,1.016436772806493e-08,-0.5313159179687501,1.016436772806493e-08
242,2.3788090006333272e-08,1.6867738502658463e-08,1.0309856517588995e-08,-0.5236865234375001,1.0309856517588995e-08
